Direccion,Barrio,Latitud,Longitud,Tipo_vivienda,Dproymes,Localidad,Cod_proyecto,Proyecto
Cr. 92 # 149-30,Campiña,4.74476763327579,-74.0840317889721,No VIS,3,Suba,20275,Colinas de Suba
Cr. 7 # 126-30,Pinar de Santa Bárbara,4.70164592452076,-74.0280218745597,No VIS,38,Usaquén,30712,Reserva de la Sierra
Tv. 19A # 96-56,Chicó,4.68405923575732,-74.0537228368549,No VIS,2,Chapinero,30959,Oqyana
Av. Suba con 119,Córdoba,4.70689170036199,-74.067317193494,No VIS,18,Suba,31238,Provenza Imperial
Cl. 94 # 21-59,Chicó,4.6816000007093,-74.0568000003695,No VIS,5,Chapinero,31422,Art 94
Cl. 140 # 20-35,Nueva Autopista,4.723576287993,-74.0484299041063,No VIS,2,Usaquén,31428,Axxes 140
Cl. 133 # 19-59,Calleja,4.71658155944754,-74.0478525919435,No VIS,24,Usaquén,31451,Area 19
Cl. 92 # 14-23,Chicó,4.67526234489033,-74.0521196575608,No VIS,5,Chapinero,31486,Massilia
Cl. 88 # 13-25,Cabrera,4.67188269304709,-74.0524935262219,No VIS,4,Chapinero,31502,El Palco
Cr. 18C # 123-83,Santa Bárbara,4.7041144779247,-74.048388164981,No VIS,2,Usaquén,31512,Absolut 123
Cr. 23 # 137-41,Nueva Autopista,4.72294476060167,-74.0502976800842,No VIS,2,Usaquén,31521,Parque de Alcalá
Tv. 88 # 145-32,Suba,4.73856303142613,-74.082631146655,No VIS,7,Suba,31542,Cerros de la Lorena
Cr. 7 # 93-20,Chicó,4.67259422382627,-74.0427762830917,No VIS,2,Chapinero,31567,Vitrum
Cl. 139 # 96A-35,Suba,4.73862441715655,-74.0914998250421,No VIS,62,Suba,31588,Altos de San Jorge
Cl. 153 # 109B-18,Las Mercedes,4.75750000029802,-74.0946000004187,No VIS,16,Suba,31591,Bosque de Tulipanes
Cl. 127BBis # 19-36,Calleja,4.70961068333341,-74.0489588187034,No VIS,4,Usaquén,31600,Montserrat 127..
Cr. 89 # 147B-68,S. C. Suba Urbano,4.74281879448368,-74.0819953407603,No VIS,2,Suba,31605,Agora Casas
Cl. 121 # 3A-20,Pinar de Santa Bárbara,4.69470749736654,-74.0265637390165,No VIS,6,Usaquén,31613,Cerros de los Alpes III
Cr. 8 # 127A-01,Bella Suiza,4.70451749039233,-74.0323085022207,No VIS,3,Usaquén,31629,Parque BS
Dg. 72 # 1-52 Este,Rosales,4.65310000069439,-74.0506999995559,No VIS,5,Chapinero,31635,Lumini
Cr. 19A # 107-14,Chicó Navarra,4.69473029676935,-74.0511927229968,No VIS,1,Usaquén,31646,Paloalto
Tv. 5 # 86-91,Rosales,4.66637931808479,-74.0450773483256,No VIS,4,Chapinero,31651,Cenit de la Cabrera
Av. Cl. 145 # 114A-50,Córdoba,4.69758446319946,-74.0688252057842,No VIS,1,Suba,31654,Ilarco 114
Cl. 118 # 11A-05,Santa Bárbara,4.69653779941671,-74.0375347204995,No VIS,1,Usaquén,31656,Vita 118
Cl. 126D # 104-01,Corinto,4.7283695776418,-74.1023638548106,No VIS,51,Suba,31669,Mirador Corinto Reservado
Cr. 14A # 109-81,Santa Paula,4.69277509923981,-74.043293468885,No VIS,1,Usaquén,31670,Jade Plus +
Cl. 92 # 17-31,Chicó,4.67652770799679,-74.0543268585104,No VIS,5,Chapinero,31675,La Toscana
Cl. 85 # 7-16,Chicó,4.66552869991642,-74.0468756900244,No VIS,7,Chapinero,31679,Icon Cabrera +
Cr. 16 # 93-21,Chicó,4.67770643614185,-74.0526660876667,No VIS,3,Chapinero,31680,Balcony 93-16 +
Cl. 106 # 19A-23,Chicó Navarra,4.69289325083747,-74.0406315456303,No VIS,1,Usaquén,31681,Saga 106
Cr. 7BBis # 126-84,Santa Bárbara,4.70229999907315,-74.0307999998331,No VIS,1,Usaquén,31688,El Roble 127
Cr. 17 # 93A-38,Chicó,4.67859121212411,-74.0526026460449,No VIS,2,Chapinero,31690,Orvieto
Cl. 109 # 21-57,Chicó Navarra,4.69598870918069,-74.0544187392827,No VIS,3,Usaquén,31694,Loretto 109
Cr. 14A # 127A-36,La Carolina,4.70611770346483,-74.0414867600761,No VIS,3,Usaquén,31702,Marankal
Cr. 100 # 148-84,Campiña,4.7441486250324,-74.0905515039156,No VIS,1,Suba,31706,Valle del Refous II
Cr. 13 # 119-71,Santa Bárbara,4.69993665125289,-74.0400318739688,No VIS,4,Usaquén,31711,Laya 119
Cl. 128B # 19-40,Calleja,4.71336941929546,-74.0482925166543,No VIS,27,Usaquén,31718,Saint Thomas
